userEmail,classTitle,status,notes
user38@reservafit.com,Spinning sesión 055,confirmed,Prefiere esterilla cerca de la puerta
user24@reservafit.com,Spinning sesión 115,cancelled,Primera vez en esta disciplina
user50@reservafit.com,HIIT sesión 008,confirmed,Sin lesiones declaradas
user11@reservafit.com,Fuerza sesión 032,confirmed,Primera vez en esta disciplina
user50@reservafit.com,Pilates sesión 081,confirmed,
user18@reservafit.com,Pilates sesión 040,confirmed,Prefiere esterilla cerca de la puerta
user21@reservafit.com,Spinning sesión 101,confirmed,Sin lesiones declaradas
user5@reservafit.com,Yoga sesión 094,confirmed,
user16@reservafit.com,HIIT sesión 008,confirmed,Primera vez en esta disciplina
user44@reservafit.com,Boxeo sesión 116,cancelled,Primera vez en esta disciplina
user35@reservafit.com,Fuerza sesión 112,cancelled,Sin lesiones declaradas
user46@reservafit.com,Yoga sesión 062,confirmed,
user43@reservafit.com,Spinning sesión 083,confirmed,Sin lesiones declaradas
user38@reservafit.com,Yoga sesión 109,confirmed,Primera vez en esta disciplina
user10@reservafit.com,Pilates sesión 009,confirmed,Sin lesiones declaradas
user10@reservafit.com,Boxeo sesión 050,confirmed,Sin lesiones declaradas
user39@reservafit.com,Yoga sesión 094,confirmed,
user45@reservafit.com,Spinning sesión 095,confirmed,
user47@reservafit.com,Fuerza sesión 112,cancelled,Primera vez en esta disciplina
user40@reservafit.com,Fuerza sesión 046,confirmed,Primera vez en esta disciplina
user46@reservafit.com,Boxeo sesión 098,cancelled,
user12@reservafit.com,Boxeo sesión 011,confirmed,Primera vez en esta disciplina
user41@reservafit.com,Spinning sesión 014,cancelled,
user38@reservafit.com,Boxeo sesión 064,cancelled,Primera vez en esta disciplina
user24@reservafit.com,Pilates sesión 040,confirmed,Prefiere esterilla cerca de la puerta
user41@reservafit.com,Spinning sesión 072,confirmed,
user51@reservafit.com,Boxeo sesión 096,confirmed,Prefiere esterilla cerca de la puerta
user21@reservafit.com,Yoga sesión 102,cancelled,Primera vez en esta disciplina
user22@reservafit.com,Spinning sesión 005,confirmed,Sin lesiones declaradas
user16@reservafit.com,Fuerza sesión 015,confirmed,Prefiere esterilla cerca de la puerta
user16@reservafit.com,Boxeo sesión 024,cancelled,Sin lesiones declaradas
user38@reservafit.com,Boxeo sesión 090,cancelled,Primera vez en esta disciplina
