name,email,password,role,avatar
Admin ReservaFit,admin@reservafit.com,123456,admin,
Elena Ruiz,user1@reservafit.com,123456,user,
Elena Sánchez,user2@reservafit.com,123456,user,
Manuel García,user3@reservafit.com,123456,user,
Laura García,user4@reservafit.com,123456,user,
Adrián Díaz,user5@reservafit.com,123456,user,
Carlos Hernández,user6@reservafit.com,123456,user,
Paula Ruiz,user7@reservafit.com,123456,user,
Carlos Muñoz,user8@reservafit.com,123456,user,
Carlos López,user9@reservafit.com,123456,user,
Claudia Moreno,user10@reservafit.com,123456,user,
Rocío Navarro,user11@reservafit.com,123456,user,
Hugo Navarro,user12@reservafit.com,123456,user,
Pablo Moreno,user13@reservafit.com,123456,user,
Pablo Navarro,user14@reservafit.com,123456,user,
Marta Díaz,user15@reservafit.com,123456,user,
Sara Moreno,user16@reservafit.com,123456,user,
Daniel Moreno,user17@reservafit.com,123456,user,
Daniel Díaz,user18@reservafit.com,123456,user,
Claudia Sánchez,user19@reservafit.com,123456,user,
Nerea Hernández,user20@reservafit.com,123456,user,
Hugo Jiménez,user21@reservafit.com,123456,user,
Marta Hernández,user22@reservafit.com,123456,user,
Marta Hernández,user23@reservafit.com,123456,user,
Hugo Martín,user24@reservafit.com,123456,user,
Iván Hernández,user25@reservafit.com,123456,user,
Sara Torres,user26@reservafit.com,123456,user,
Pablo Martín,user27@reservafit.com,123456,user,
Hugo López,user28@reservafit.com,123456,user,
Hugo Jiménez,user29@reservafit.com,123456,user,
Javier Martín,user30@reservafit.com,123456,user,
Iván Navarro,user31@reservafit.com,123456,user,
Laura Hernández,user32@reservafit.com,123456,user,
Sara Sánchez,user33@reservafit.com,123456,user,
Pablo Torres,user34@reservafit.com,123456,user,
Elena Díaz,user35@reservafit.com,123456,user,
Pablo Torres,user36@reservafit.com,123456,user,
Manuel Muñoz,user37@reservafit.com,123456,user,
Adrián Sánchez,user38@reservafit.com,123456,user,
Lucía Martín,user39@reservafit.com,123456,user,
Rocío García,user40@reservafit.com,123456,user,
Nerea Moreno,user41@reservafit.com,123456,user,
Adrián Moreno,user42@reservafit.com,123456,user,
Sara Navarro,user43@reservafit.com,123456,user,
Laura López,user44@reservafit.com,123456,user,
Claudia Díaz,user45@reservafit.com,123456,user,
Nerea Sánchez,user46@reservafit.com,123456,user,
Lucía Ruiz,user47@reservafit.com,123456,user,
Claudia Torres,user48@reservafit.com,123456,user,
Laura Jiménez,user49@reservafit.com,123456,user,
Laura Torres,user50@reservafit.com,123456,user,
Claudia Martín,user51@reservafit.com,123456,user,
Adrián Ruiz,user52@reservafit.com,123456,user,
Paula Navarro,user53@reservafit.com,123456,user,
Rocío Hernández,user54@reservafit.com,123456,user,
Hugo Ruiz,user55@reservafit.com,123456,user,
Paula Torres,user56@reservafit.com,123456,user,
Santiago Sánchez,user57@reservafit.com,123456,user,
Claudia Moreno,user58@reservafit.com,123456,user,
Santiago Ruiz,user59@reservafit.com,123456,user,
Lucía Jiménez,user60@reservafit.com,123456,user,
